"Title","Publish Year","Authors","Rating","Image Uri","Amazon Uri","Content Uri","Content Type","Category Group Name","Category Name","Reflection"
"Unix Network Programming-Vol 1","2003","W. Richard Stevens, Bill Fenner, Andrew M. Rudoff","0.00","http://ecx.images-amazon.com/images/I/51oei1qbc1L._SX355_BO1,204,203,200_.jpg","http://www.amazon.com/Unix-Network-Programming-Sockets-Networking/dp/0131411551/ref=sr_1_1?s=books&ie=UTF8&qid=1456836599&sr=1-1&keywords=Unix+Network+Programming","","","Software Engineering","Programming",""
"Test Driven Development: By Example","2003","Kent Beck","0.00","http://ecx.images-amazon.com/images/I/51H4NaRMF4L._SX397_BO1,204,203,200_.jpg","http://www.amazon.com/Test-Driven-Development-By-Example/dp/0321146530/ref=pd_sim_14_7?ie=UTF8&dpID=51H4NaRMF4L&dpSrc=sims&preST=_AC_UL160_SR128%2C160_&refRID=0PYTY4AGERB0W1P0F77Q","","","Software Engineering","Programming",""
"Code Complete: A Practical Handbook of Software Construction","2004","Steve McConnell","0.00","http://ecx.images-amazon.com/images/I/515iO%2B-PRUL._SX408_BO1,204,203,200_.jpg","http://www.amazon.com/Code-Complete-Practical-Handbook-Construction/dp/0735619670/ref=sr_1_1?s=books&ie=UTF8&qid=1456836922&sr=1-1&keywords=Code+Complete","","","Software Engineering","Programming",""
"Refactoring to Patterns","2005","Joshua Kerievsky","0.00","http://ecx.images-amazon.com/images/I/515omKbeNTL._SX352_BO1,204,203,200_.jpg","http://www.amazon.com/Refactoring-Patterns-Joshua-Kerievsky/dp/0321213351/ref=pd_sim_14_8?ie=UTF8&dpID=515omKbeNTL&dpSrc=sims&preST=_AC_UL160_SR113%2C160_&refRID=08YYFHN183HT5CJKWY8X","","","Software Engineering","Programming",""
"Mastering Regular Expressions","2006","Jeffrey E. F. Friedl","0.00","http://ecx.images-amazon.com/images/I/51S9Xa55QuL._SX379_BO1,204,203,200_.jpg","http://www.amazon.com/Mastering-Regular-Expressions-Jeffrey-Friedl/dp/0596528124/ref=sr_1_1?s=books&ie=UTF8&qid=1456836806&sr=1-1&keywords=Mastering+Regular+Expressions","","","Software Engineering","Programming",""
"F# for Scientists","2008","Jon Harrop, Don Syme","0.00","http://ecx.images-amazon.com/images/I/517WnNA1ovL._SX310_BO1,204,203,200_.jpg","http://www.amazon.com/F-Scientists-Jon-Harrop/dp/0470242116/ref=sr_1_1?s=books&ie=UTF8&qid=1456830989&sr=1-1&keywords=F%23+for+Scientists","","","Software Engineering","Programming",""
"Ruby on Rails for Microsoft Developers","2009","Antonio Cangiano","0.00","http://ecx.images-amazon.com/images/I/41v3l2nhL9L._SX329_BO1,204,203,200_.jpg","http://www.amazon.com/Rails-Microsoft-Developers-Antonio-Cangiano/dp/0470374950/ref=sr_1_1?s=books&ie=UTF8&qid=1456831761&sr=1-1&keywords=Ruby+on+Rails+for+Microsoft+Developers","","","Software Engineering","Programming",""
"Clean Code: A Handbook of Agile Software Craftsmanship","2009","Robert C. Martin","0.00","http://ecx.images-amazon.com/images/I/51oXyW8WQwL._SX387_BO1,204,203,200_.jpg","http://www.amazon.com/Clean-Code-Handbook-Software-Craftsmanship/dp/0132350882/ref=pd_sim_14_6?ie=UTF8&dpID=51oXyW8WQwL&dpSrc=sims&preST=_AC_UL160_SR124%2C160_&refRID=0PYTY4AGERB0W1P0F77Q","","","Software Engineering","Programming",""
"Dependency Injection","2009","Dhanji R. Prasanna","0.00","http://ecx.images-amazon.com/images/I/41aIzqXPWhL._SX397_BO1,204,203,200_.jpg","http://www.amazon.com/Dependency-Injection-Dhanji-R-Prasanna/dp/193398855X/ref=sr_1_1?s=books&ie=UTF8&qid=1456655599&sr=1-1&keywords=dependency+injection+dhanji+R.+prasanna","","","Software Engineering","Programming",""
"Concurrent Programming on Windows","2009","Joe Duffy","0.00","http://ecx.images-amazon.com/images/I/41RLkdiboaL._SX376_BO1,204,203,200_.jpg","http://www.amazon.com/Concurrent-Programming-Windows-Joe-Duffy/dp/032143482X/ref=sr_1_1?s=books&ie=UTF8&qid=1456837106&sr=1-1&keywords=Concurrent+Programming+on+Windows","","","Software Engineering","Programming",""
"Professional C# 4.0 and .NET","2010","Christian Nagel, Bill Evjen, Jay Glynn, Karli Watson, Morgan Skinner","0.00","http://ecx.images-amazon.com/images/I/51BMhP6GVBL._SX395_BO1,204,203,200_.jpg","http://www.amazon.com/Professional-C-4-0-NET-4/dp/0470502258/ref=sr_1_1?s=books&ie=UTF8&qid=1456829277&sr=1-1&keywords=Professional+C%23+4.0+and+.NET+Christian+Nagel","","","Software Engineering","Programming",""
